City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nyagan,0,RU,1567630544,95,62.14,65.43,46.31,1.77
Sept-Iles,90,CA,1567630394,93,50.2,-66.38,52.0,12.75
Puerto Leguizamo,100,CO,1567630544,52,-0.19,-74.78,88.25,1.34
Tiarei,40,PF,1567630544,70,-17.53,-149.33,84.2,8.05
Bajah,18,YE,1567630545,55,13.81,44.63,71.69,4.76
Progreso,40,UY,1567630545,49,-34.68,-56.22,48.99,11.41
Port Blair,100,IN,1567630458,81,11.67,92.75,82.13,24.4
Kungurtug,100,RU,1567630468,67,50.6,97.53,44.15,1.7
Port-Cartier,90,CA,1567630545,93,50.03,-66.88,52.0,12.75
Cockburn Town,40,TC,1567630319,66,21.46,-71.14,87.8,17.22
Cooma,70,AU,1567630545,65,-36.24,149.13,41.0,5.82
Ancud,0,CL,1567630545,34,-41.87,-73.83,51.8,9.17
Forio,0,IT,1567630545,53,40.73,13.86,77.0,4.7
Rome,0,IT,1567630273,77,41.89,12.48,75.2,5.82
Floro,75,NO,1567630546,93,61.6,5.03,51.8,1.12
Cervo,0,BR,1567630546,53,-22.19,-46.24,77.0,4.34
Murgab,0,TM,1567630546,49,37.5,61.97,71.6,4.7
Vao,58,EE,1567630546,96,59.1,26.19,51.89,6.8
Sault Sainte Marie,1,CA,1567630546,45,46.49,-84.36,62.6,17.22
Suhbaatar,33,MN,1567630546,90,50.23,106.21,52.07,1.7
Ugoofaaru,74,MV,1567630428,78,5.67,73.0,82.31,8.46
Oudtshoorn,100,ZA,1567630547,81,-33.59,22.2,51.53,4.56
Arona,0,IT,1567630547,68,45.76,8.56,73.99,2.24
Jasper,20,US,1567630547,37,33.83,-87.28,97.0,7.18
La Palma,55,CO,1567630547,39,5.36,-74.39,89.69,0.98
Tabou,90,CI,1567630548,94,4.42,-7.36,74.03,3.94
Ponta Delgada,20,PT,1567630548,73,37.73,-25.67,71.01,13.87
Ratnagiri,100,IN,1567630548,82,16.98,73.3,80.87,19.75
Omsukchan,100,RU,1567630548,70,62.53,155.8,41.45,6.78
Lares,40,PR,1567630548,70,18.3,-66.88,89.01,18.34
Zhangye,31,CN,1567630548,34,38.94,100.46,65.39,3.65
Tomatlan,53,MX,1567630549,77,19.93,-105.25,84.83,10.31
Takoradi,100,GH,1567630549,92,4.89,-1.75,74.39,5.06
Casma,9,PE,1567630549,91,-9.47,-78.3,60.89,9.95
Khonsa,100,IN,1567630549,95,26.99,95.51,69.17,3.6
Campoverde,75,EC,1567630549,55,-0.91,-78.62,68.0,18.34
Benguela,100,AO,1567630549,87,-12.58,13.4,69.17,7.52
